_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Iteration,Policy Loss,KL Penalty,Value Error Old,Value Loss Old,Value Error Now,Value Loss Now
16.06369,10006,0.00800574136338333,-3.625372758723246,2.912935965431897,0.11760616640162687,-0.061874,-2.9387248,3.05994,0.4486526,-3.550583328803219e-19,-3.2543052844291283,5.0811883844729175,0.9999965410266318,0.4262078598943954,-1.056901454925537,3.1512186527252197,0.17274563644187044,0,-0.033410218,0.009702929,0.3375751103663613,1.242569,0.11722314779008348,0.45701024
17.453587,10021,0.015707741917354825,-3.575306288882649,1.6127733495947407,0.05361571864640776,-0.028509423,-2.444422,2.7110412,0.423689,3.226194439385746e-16,-5.7152523531347645,8.61425017926238,0.9999917883170844,0.4594772197861328,-0.9199495911598206,3.5060012340545654,0.1584625434454161,1,-0.015301431,0.008549091,0.13390331269369105,0.47356746,0.12417260084096986,0.46713725
21.604458,10036,0.028520401936074094,-2.926040945388255,1.8579067169661974,0.055098453020455435,0.0020214953,-2.5864484,2.7905338,0.419943,1.104470573720363e-16,-3.867835477878345,4.084690396170369,0.9999919707001002,0.49652777550124655,-0.663777768611908,2.703618288040161,0.1723522684525251,2,-0.026760709,0.009317334,0.13352863100738321,0.4764749,0.13284634420091077,0.47515956
28.078922,10000,0.037360136802796234,-2.44869318859826,1.5145631469372187,0.06401688417319558,0.030467024,-2.799777,2.87632,0.42366698,-1.0231815394945442e-16,-3.906404138920625,5.459236983124324,0.9999922323168832,0.5457529266901596,-0.6416037082672119,3.2018401622772217,0.18706444965213467,3,-0.027045904,0.009677427,0.14441272283482637,0.48669425,0.14367262251768598,0.48582292
32.334614,10011,0.04511483966558781,-2.4664559568659095,1.5373370846508105,0.060621087532544186,0.054114636,-2.4524627,2.7012756,0.41090712,1.3627430353205399e-16,-3.5299631218649243,5.50576625962328,0.9999924954030197,0.560254405184367,-0.47893418879820393,3.2884626388549805,0.2601683232723392,4,-0.02155436,0.009070076,0.20665224836883594,0.54864883,0.2082091221723449,0.55300945
46.093174,10047,0.06207850405391096,-2.4147950628877926,1.860334506274568,0.061510721853008384,0.086076185,-2.836612,2.977275,0.40965056,2.1216564220964473e-16,-5.6445569443505885,4.996189314090636,0.9999927354125281,0.6151380964033338,-1.0713555812835693,3.3029489517211914,0.3107416798678197,5,-0.021271998,0.009473951,0.2602610773807734,0.6050859,0.26552426458233663,0.6118026
52.742527,10059,0.06902642996787196,-1.7126794531937797,1.6084103629056579,0.05722711351018051,0.09202463,-2.589737,2.781572,0.39916965,2.31691040192179e-16,-4.397868482231049,3.8249156603001366,0.9999933312736223,0.6228621869268001,-0.6106728106851276,2.9454452991485596,0.3405434863126292,6,-0.020834384,0.00927733,0.28323474684019656,0.6294315,0.2767427329437134,0.6202574
60.57011,10071,0.07459904523026309,-1.8458648147637249,1.7853143102462345,0.05659660609741272,0.11602243,-2.3644059,2.7408261,0.3934518,3.2948412034551366e-16,-4.702958843468521,5.716179728795811,0.9999930019212852,0.6184961236537128,-0.8789450526237488,3.60697603225708,0.35607072044294963,7,-0.019270366,0.00923737,0.2924684484284296,0.63619334,0.2960919108418527,0.64172894
63.354572,10031,0.0738416968101221,-1.906285658291745,1.5015030412631363,0.05035912527394986,0.12607922,-2.3317919,2.709767,0.3891633,-3.825073046659895e-17,-3.714268303078979,3.4309597011019064,0.9999933577259493,0.5947886260074642,-0.6499557495117188,2.9478416442871094,0.3121391297822123,8,-0.021824406,0.009891916,0.24890749591619057,0.59474945,0.24706882311471062,0.5906472
69.82881,10027,0.09007303202475943,-1.6841340441201025,1.5629147922461926,0.05017169277546713,0.1712501,-2.565677,2.7964144,0.3790108,1.4172588725642767e-17,-5.399039034004752,3.3860629226852206,0.9999933041131897,0.6490336367746115,-1.221071481704712,2.920942544937134,0.43835381663695366,9,-0.018334702,0.009291335,0.36776157625977884,0.7111204,0.36794740539616744,0.71149737
71.387764,10055,0.08251270150147905,-1.7908445007180076,1.7458176375272418,0.04679431886403604,0.1861141,-2.293307,2.9957788,0.38196644,5.087924114841095e-17,-4.364948008132731,3.3562533129652325,0.9999931984262239,0.6249819698813494,-0.8239055871963501,2.9888007640838623,0.3789751279708152,10,-0.0191212,0.009267689,0.3106886044522437,0.6542345,0.31027195274240105,0.65474665
72.71317,10020,0.0913637156298456,-1.9579113590847146,1.9196892676413981,0.04575259398462617,0.22492616,-2.5959935,2.706735,0.36874738,2.836497947146108e-17,-4.6737587251713775,3.5642346285256377,0.9999932276911154,0.6648050343233729,-0.9611491560935974,3.0314316749572754,0.4824918529157803,11,-0.019138569,0.009380453,0.41076509289279545,0.75530225,0.4171059912643891,0.76397204
