_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Iteration,Policy Loss,KL Penalty,Value Error Old,Value Loss Old,Value Error Now,Value Loss Now
-52.12922,10000,0.051114538531766916,-1.1121153726157371,1.991081206767394,0.0666244063071592,0.077067904,-2.476812,2.8517828,0.41625923,-4.218847493575595e-18,-4.327843892085374,4.370766102374843,0.999999219432248,-0.5231268631755542,-16.26554771284694,15.589204565487602,12.045302239364169,0,-0.03905416,0.00910099,12.485222657786094,13.36962,12.045556804998421,12.372398
-47.64249,10000,0.02122335144762122,-1.1313824599107807,1.2130299180690876,0.05722207921501899,0.070917234,-2.509434,2.5412989,0.37086362,-3.552713678800501e-18,-4.443982900954496,4.069127119720644,0.9999991488857879,-0.48101445326990705,-13.790450401424053,12.779410423711935,11.122032918591659,1,-0.039396327,0.009163791,11.122717122767478,11.449564,11.123297913715309,11.449906
-43.393078,10000,0.018918366271283158,-1.075655417608947,1.1723711389579528,0.0565598444085127,0.054924622,-2.5547984,2.3313508,0.33155137,-3.952393967665557e-18,-4.746610822606567,4.557127312718491,0.9999990710243101,-0.4394777683531971,-12.780749880022022,11.78247680457309,8.78472592668809,2,-0.03925825,0.009059723,8.784761566572971,9.1115465,8.785346781088153,9.11214
-39.225033,10000,0.024692646594572928,-1.009259258831501,1.2106002332536174,0.05497836601194985,0.054413274,-2.014977,2.194715,0.28689688,-4.671818487622659e-17,-4.045357385632667,4.17079550861159,0.9999988353452914,-0.3958719863030541,-10.486943992592474,9.733242250670468,5.599308547757587,3,-0.039667472,0.009046045,5.604003912572793,5.9311175,5.5998776211099015,5.926983
-35.30813,10000,0.020832356534988983,-1.041786688870167,1.145665808363013,0.05359393087373612,0.053732183,-1.902681,1.8641002,0.25034273,3.907985046680551e-18,-4.642530303580324,4.443310521471968,0.9999986600007152,-0.3573015655190701,-9.388044493981065,8.565269636523707,4.290931345303273,4,-0.03923438,0.0089853415,4.291147881307887,4.6187344,4.292589729754964,4.619916
-32.758713,10000,0.024280820740405457,-1.0370931956916047,1.3175326954642028,0.0528618323415719,0.04351503,-1.8371812,1.8162284,0.22055297,4.369837824924616e-17,-4.451322810148755,4.34105375023866,0.9999985596721488,-0.3283271590992145,-8.721838577420648,7.977826069840955,3.863560629017577,5,-0.038852405,0.009048598,3.863698664735739,4.191725,3.8639116140364336,4.192192
-29.694399,10000,0.0218905452211241,-1.1272770828492873,1.3389138854940146,0.053035750023807816,0.032619353,-1.8202186,1.8362576,0.1954018,-3.446132268436486e-17,-5.321396338166984,5.044649600669005,0.9999984031521176,-0.3005047311779693,-9.763986926349922,8.926847666961148,2.9926920882100663,6,-0.04005394,0.009038237,2.994859644516424,3.323915,2.99277438108045,3.321575
-27.669687,10000,0.02438137247472367,-1.08512892924727,1.1275335022380186,0.05213184766853913,0.03536191,-1.6830919,1.7576139,0.17237464,4.574118861455645e-17,-4.727055258500353,4.77404931194256,0.9999981640004365,-0.28012884219160017,-7.954353109392897,7.3242777078173535,2.2968984006588733,7,-0.038871843,0.00902712,2.297765551837997,2.6274607,2.2983693502570697,2.628259
-25.49913,10000,0.01952727880308687,-1.1812721336255354,0.9388610759295186,0.05105136142268809,0.022819895,-1.469884,1.8800043,0.15343547,-3.9701575360595595e-17,-5.064486926317427,5.179319440399652,0.9999979867282547,-0.2574849765287966,-5.825878678992103,5.639758943758769,1.878338139213887,8,-0.039118204,0.008842102,1.8820587520461705,2.2131116,1.8789216951431962,2.209651
-23.505701,10000,0.022318650615170358,-0.9465612867844092,0.8758518608967363,0.0485793482968181,0.013468773,-1.3293813,1.4940708,0.13498503,8.348877145181178e-18,-4.058553300757456,3.8805609782622668,0.9999976453543777,-0.23758774983472805,-5.04178145011266,4.493548920702934,1.4191860676849786,9,-0.039957263,0.008917659,1.4192042125213482,1.7511963,1.4193650774940123,1.7538701
-21.871666,10000,0.02266961641479753,-1.0372170158591136,0.9658805693614656,0.04712929287361264,0.015926031,-1.3481729,1.2711189,0.11829123,-3.632649736573512e-17,-5.310129211979999,4.838363993896542,0.999997281935554,-0.2219725827958232,-5.717810110425309,5.030078346544109,1.0389236735074732,10,-0.039565932,0.008840333,1.0397643615993455,1.3757845,1.0390697479287758,1.3725735
-20.724358,10000,0.023029973743411095,-0.9037000701175307,0.9536115267964472,0.04744329551750542,0.018351445,-1.2811059,1.262675,0.102699436,8.002487561498128e-17,-3.990163726285164,4.095958038717325,0.9999969155517967,-0.20908445954919452,-3.8104667533492704,3.1804909879574597,0.8671884159257104,11,-0.039390355,0.009017006,0.8678121290090203,1.2028707,0.8675402195084339,1.2027148
-19.8898,10000,0.026781899756914206,-0.9303555908691233,0.9230325466421178,0.044868560003594425,0.009113978,-1.3378209,1.1704633,0.09116811,-5.506706202140776e-18,-3.69184465046403,3.5436627519193205,0.9999966453108049,-0.20070523026219375,-3.346102738683866,2.910640052373846,0.716918618318861,12,-0.038852025,0.0088066235,0.7170263045672344,1.0539985,0.7176738607863649,1.0549668
-18.418663,10000,0.03167389381096101,-0.8026448122298702,0.9266361161847634,0.0448121358711225,0.010927901,-1.1123786,1.2295319,0.08102618,6.359357485052896e-17,-4.182789221723972,4.098089379101489,0.9999963469451763,-0.1867994143892735,-3.412318556905727,2.9430078129585144,0.5919266857247233,13,-0.039769527,0.008901507,0.5936396101355671,0.93282807,0.5919631310217283,0.93069196
