_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Iteration,Policy Loss,KL Penalty,Value Error Old,Value Loss Old,Value Error Now,Value Loss Now
-167.28563,10281,0.029907881994961142,-1.4090661282017147,9.989999999999831,0.09852771360417371,0.030757507,-2.6261363,3.258583,0.4064461,-3.317386569057952e-17,-4.6554259511186515,4.57172938793868,0.9999993381198884,-0.4174347595452062,-21.545633703355183,20.942472515030307,27.189103682413954,0,-0.04131998,0.009023167,27.23267826322276,28.139986,27.21996636346733,27.695074
-235.05652,10167,0.03577386194569993,-1.9574934708700005,9.989999999999831,0.10438209182526645,0.03987255,-2.8021202,3.7946768,0.38747776,-3.843793692023755e-18,-4.757926688494623,4.305699049290799,0.9999993937596984,-0.39581666885389144,-24.564501510606217,23.193282554511946,40.97654656440345,1,-0.039569516,0.00916859,41.01431108065784,41.489212,41.03030525746998,41.477753
-84.07172,10091,0.023760191112510404,-1.7534215479666606,9.989999999999831,0.09120756568297046,0.024700956,-2.8234255,2.7826085,0.3710658,-1.9187681646479764e-17,-4.400635742045175,4.520175372652254,0.9999992934084249,-0.2811644365611167,-18.24039688164779,18.13498761973787,24.088728660819164,2,-0.04033219,0.008938679,24.127609731479392,24.5748,24.066144286541938,24.428545
-175.9959,10094,0.03576449429734067,-1.6603670674199955,9.989999999999831,0.10565683896675011,0.026058478,-2.5072315,2.7867618,0.34894806,2.410945977787144e-17,-4.064730644434141,3.903365371054523,0.9999992932656334,-0.31457272673448033,-21.758794205886694,20.554536560705632,28.730646051116388,3,-0.04025785,0.009192293,28.733073353353074,29.09546,28.73283852722945,29.073105
-77.995056,10126,0.028598876525974846,-1.5942665785967007,9.989999999999831,0.09724131062091859,0.025915505,-2.3482976,2.5729957,0.33125347,4.210207796326883e-18,-4.360624363638177,4.12240827965252,0.9999991602289151,-0.20663574679907373,-17.13714464372133,16.846350998044965,21.53697469313503,4,-0.039413743,0.00901896,21.5609256181418,21.901274,21.537215977772235,21.877357
-90.300476,10161,0.03267978371600762,-1.6623023486958401,9.989999999999831,0.1066772648197993,0.023549546,-2.3540938,2.4955912,0.31244123,4.195705555123119e-18,-3.5740151414766816,3.55614396462798,0.9999991438512471,-0.18808074082023862,-13.083780301272828,12.4445578529048,17.04685180129851,5,-0.039305326,0.008997725,17.048013816598584,17.388391,17.04734140101559,17.387703
-44.43609,10328,0.027302275340852375,-1.8050485975405173,9.989999999999831,0.09638976723409327,0.02063942,-2.2385101,2.5580392,0.29688954,-2.4079198055386817e-18,-4.481031645058671,4.702390517062431,0.9999991326039743,-0.11831395373005063,-18.954526265644716,18.344038641306753,18.763060153545005,6,-0.039795164,0.008852696,18.771504603327998,19.112213,18.763518221513166,19.104166
-81.66085,10078,0.03292514169179518,-1.8051990376542266,9.989999999999831,0.09975740439195258,0.01900654,-2.6151223,2.2834086,0.28062922,-1.7802345780851885e-17,-3.640717986813679,3.6542481557811675,0.9999990689111758,-0.10922337269064647,-15.050584724560718,14.925755712049735,16.0125154728351,7,-0.0396995,0.009062578,16.013445302196857,16.354603,16.013590408064704,16.35471
-43.31582,10476,0.03038105066281825,-1.585631264403278,9.989999999999831,0.0973122713105787,0.022211961,-2.3536503,2.2985423,0.26831746,-1.2208638071479384e-17,-4.461538709101402,4.387061989193549,0.9999989854767589,-0.07585884421003161,-12.215985490433926,10.83830975678689,11.652359688753739,8,-0.04050351,0.009002613,11.65236002321194,11.993993,11.652397434062138,11.994068
-21.24209,10058,0.03206615409938051,-1.6015281606775411,9.989999999999831,0.09537853089630446,0.019733498,-2.2806785,2.20297,0.25091937,-1.836757917057328e-17,-3.402332799649944,4.100095804272264,0.9999989595199293,-0.031527395223990076,-11.465626040632182,12.190472956256604,12.560302133944056,9,-0.039078556,0.008945713,12.562849876734697,12.905074,12.560680197894772,12.902875
-5.2396383,10183,0.0281857148136288,-2.1863578391217104,9.989999999999831,0.09397334802161732,0.018869312,-2.0542512,2.2089143,0.2401092,-1.395546962113523e-17,-4.277347473372803,3.7909618649288674,0.9999988530567401,-0.01074669904849896,-12.55976303071439,12.65241494490855,11.10869446944456,10,-0.03972048,0.008881994,11.108696256557709,11.451711,11.254630298801025,13.107264
12.07775,10033,0.02873147084124447,-1.712990122094039,9.989999999999831,0.09509219444825533,0.01319227,-1.9783102,2.1570175,0.22821361,-1.2039496170558858e-17,-3.632310144613105,3.532031313491651,0.9999988811141691,0.026110038604864244,-11.717415279568897,11.477853632918654,8.99816588477134,11,-0.03850886,0.008862729,9.166793281007108,11.020336,9.065138339793455,9.648495
